-1.0715,1.7013
0.7090,-0.1268
2.3698,-0.0369
0.1963,0.8940
-0.1938,1.8360
0.4334,2.2923
0.2156,1.1749
-0.5353,2.0302
-0.8334,0.1004
-0.2994,0.5667
1.3924,-0.4154
0.1771,1.8610
0.9086,-0.4478
1.7084,0.2731
1.3665,0.1603
-0.1201,1.5505
0.3749,-0.1335
1.7201,1.3398
3.0514,1.7098
0.8269,1.6114
1.3847,6.7961
2.5152,7.6135
3.3602,7.7244
2.5603,7.4060
2.9075,6.7080
1.5096,5.7587
1.5345,6.0073
0.2337,6.9434
1.7248,5.7705
3.6303,5.5253
2.3096,7.5056
2.0915,8.6503
2.4304,5.5542
3.1038,6.2433
0.8451,4.9702
1.9454,7.4531
1.2106,7.8017
2.3001,5.8475
1.5951,7.1929
1.3745,6.8209
2.1718,7.1743
2.7365,6.9911
0.4036,5.2841
2.5878,5.0507
1.7722,6.9339
2.0782,8.4629
1.8862,6.8656
4.1639,7.2599
1.9118,6.2601
1.4562,6.7050
4.9446,2.1624
7.4811,3.0688
5.7228,2.6508
5.6601,4.3833
6.7194,3.9819
6.0899,3.5383
4.9779,3.8645
6.9688,2.0320
6.9221,2.8703
5.5806,3.4878
5.4314,2.4665
6.1111,3.7349
4.5805,3.5384
5.2987,4.3522
4.5890,3.0794
5.2620,2.7907
7.0382,2.5145
7.4580,2.7690
7.0180,3.3165
8.3279,2.7457
8.9401,5.4619
9.8779,4.9441
10.0657,4.7007
10.1446,6.6634
10.1645,6.1977
11.6256,4.7709
8.7828,7.2367
8.9384,5.4159
9.2963,7.1623
10.9079,7.0690
10.3424,4.9016
11.1100,5.5147
8.8965,7.0426
8.7488,5.6762
9.8284,5.5898
10.7438,6.2488
10.2422,2.6003
11.4030,5.3477
9.5872,7.0286
10.2164,5.4677
9.2216,4.7204
9.9753,5.2607
10.1397,5.2987
9.9271,6.2421
10.2222,4.7217
9.6234,4.9146
9.0806,5.6686
8.6672,4.9630
8.1140,6.6801
10.3614,7.4636
8.7802,5.9248
9.6477,6.2311
10.0088,8.6797
9.7215,5.0952
10.4705,5.8560
10.0858,9.5329
10.4674,6.6798
10.1317,5.4759
9.8022,6.8308
10.1194,5.1012
11.3566,6.9258
9.0421,7.1903
10.1044,7.7231
11.5464,4.6673
8.9010,6.9290
10.0608,5.4602
11.3776,6.6932
10.8550,6.9337
10.2713,5.1151
11.2507,4.9477
